AmberForAmerica,"MT @jphilman0206: We need a POTUS to Unite us behind American Values, Constitution, &amp; Liberty https://t.co/RgQPuxge7U #CruzCrew #PJNET"
ElseMarilyn,"#NYValues #CAPrimary 
#NYPrimary  #PAprimary  #AlwaysTrump #PresidentTrump
#TrumpTrain #Trump2016 
#NeverCruz https://t.co/hgs3j6yLSu"
melodijoy,"RT @LivingOnChi: He owes an apology for supporting the bigotry that's crushing this country.
#MakeHistory
#FeelTheBern
 https://t.co/bFgtfB…"
TomKeough,#ToneDownForWhat #BernieOrBust #FeelTheBern #HillNo not ever!
DanMartin_cards,RT @PatriotGinger: MT @DanMartin_cards: There's Only One RIGHT Choice For POTUS VOTE #TEDCRUZ. #ChooseCruz https://t.co/BBLxd9Iuit #CruzCre…
1kimoui,RT @laureldavilacpa: Hillary Clinton Celebrates Beating Expectations And Tying Sanders In Wyoming Delegates via @politicususa https://t.co/…
Chrisstypmac,"RT @trump_world: ""Trump is about #MakeAmericaGreatAgain @realDonaldTrump #Trump2016"" https://t.co/TPZOZvP5Fd"
NativeAlien1,"@History0fLife Old school?  Huh?  The Originals on the ""NEW"" TV show ~1967.  This and Lost in Space were my favorite shows then."
rjber15,RT @DonnyJHuber: Keep the tradition of NY BORN politicians alive! #BernieSanders #BernieStrong #NYPrimary @SenSanders @FDRLibrary https://t…
WillzamXXC,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
hunkaberninlove,RT @WorldForBernie: #BernieOrBust as we don't agree with @HillaryClinton's stance on issues and won't vote for the lesser of evils! @HFA ht…
TrumpRules17,RT @donald_here: LETS DO THIS!! #NewYork #NewYork4Trump #NewYorkValues #VoteTrump #AlwaysTrump #OnlyTrump #NeverCruz https://t.co/ikfShYspsV
gilbertditerc,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
Chrisstypmac,"RT @trump_world: ""I´m happy to be back w/ hundreds of delegates up!"" @realDonaldTrump #MakeAmericaGreatAgain  https://t.co/c9nF2zeRYe"
debkbarton,"""We are not neutral between our friends and our enemies..."", unlike DT. #NeverTrump #CruzCrew https://t.co/1FEaScugNe"
swagkingmik231e,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
SaraGreenwell,"@realDonaldTrump America loves you, Melania and the entire family. #NewYorkValues #VoteTrump"
LifeLibHappy,MT @LynnMarki: Care about your #2A Rights? Vote 4 CRUZ! https://t.co/8ln0vOIFaQ #CruzCrew #PJNET
mackenzieharen,@_YungAB_ tru
ClaraZWaalelc,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
saravern,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
FedUpPolitics,#FireSchultz #FeelTheBern #ImWithHer DNC Chair Joins GOP Attack On E. Warren’s Agency - Rewards Payday lenders https://t.co/tzui5QOjvV
9975Ts,"RT @trump_world: ""Latinos For Donald Trump 2016 ""Go Out &amp; #VoteTrump"" #LatinosForTrump #Hispanics4Trump #Trump2016 #NYPrimary https://t.co/…"
xsammmyxx,lmao only i would be dreaming about studying for all the material for the test i took last week &amp; repeatedly waking up thinking i missed it😅
DavidMGold32,"RT @TedCruzSaid: .""If Americans really wanted Obamacare, you wouldn't have to make a law to force them to buy it"" -T. Cruz
#CruzCrew https:…"
WrateJames,RT @BJHare: Robert DeNiro endorses Hillary. #ImWithHer https://t.co/RVRzvqpAsV
politicianslie,"RT @Libertea2012: MT Daniel, a 21 yr armed services vet explains why he's marching 140 miles with #DemocracySpring.… #BernieStrong https://…"
MrCalzagheFlim,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
Chrisstypmac,RT @EricTrump: Great being with our friend @StephenBaldwin7 at last nights rally in Long Island! He wants to #MakeAmericaGreatAgain https:/…
hunkaberninlove,RT @zachhaller: I should get a #BernieOrBust tattoo on my forehead so Hillary people know not to bother
TomKeough,#ToneDownForWhat #BernieOrBust #FeelTheBern #HillNo not ever! https://t.co/cUStOAk6U7
drumquint,"RT @trump_world: ""My superpac? The american people!""
@realDonaldTrump 
GO TRUMP!
WE GOT YOUR BACK!
#MakeAmericaGreatAgain
#Trump2016 https:…"
rplandry1964,"Buckle up on my way to Denver :-) (@ Love's Travel Stop in Salina, UT) https://t.co/lvctqqyWZb"
SandiBurkhart,RT @cook_robert_l: New York can lead the way to an overwhelming victory for a better world. #FeelTheBern #BernieOrBust  https://t.co/zTYe6m…
Falgi,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
floridastew,"RT @PatriotJewel: MT @ChuckNellis: Serious times require a serious candidate, #TedCruz. #SCPrimary https://t.co/1714IvyWkb #CruzCrew #PJNET"
