JoeMaring1,I forgot how absolutely annoying my cats are and I kinda wanna trade em for the dogs I've been watching 😒
Itta_Pupu,Going live @twitch playing fallout 4 for fun!!
chad_eseysl,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
politified,RT @Hstockpicks: @Montana0323 @RWSurferGirl1 @SherriWilkie @cologop @Bencjacobs https://t.co/QMb7iwggCw on the #TrumpTrain SINCE 8/15 #TRUM…
karalynne_,Happy birthday @Gage_Smart 😊😊 Hope ur day is as great as you dude 💟🎉🤓 miss you!!!
Manamejeff00,RT @ladyjustice179: HELL YEAH !! My fellow vets out there!! RAH! https://t.co/v6GhdYyJLr
theoccultnetwro,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
male75081,"#DEPrimary #DE #Wilmington #Dover
If concerned by #trump then #nevertrump gambler in WH
#voteCruz POTUS 4 Growth
https://t.co/x9hXOhboGV"
TheeHannahCate,"I'm just awake at 7:30 now, no matter what. It's a mix between ""wow I'm such an adult!"" and ""fuck you body don't I deserve sleep too?""🌞😤🛌 🛏"
MDHillRaiser,".@GlennThrush Hillary netted more IA delegates than Bernie yet it's a""tie"" - but an even split in WY &amp; Bernie wins? #ImWithHer"
johnjwsnk99,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
Sanjay25_,"RT @NathanDWilsonFL: I agree 100% @kimguilfoyle &amp; @MichaelCohen212. The @GOP should EMBRACE Trump &amp; the millions of new voters
#VoteTrump h…"
Ward4Anderson,RT @Code_switcher: Bernbots don't understand Hillary won Wyoming 11 delegates to 7.#FeelTheBern #ImWithHer
Drew_Nilcohs,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
LWelch2,"RT @realDonaldTrump: ""@jlopez05391: @realDonaldTrump Rochester loves you! See you tomorrow! #MakeAmericaGreatAgain #Trump2016 #TrumpTrain""…"
georgiagem,RT @texasfreedom101: MT @ToddHagopian: GOP deserves better than a protest candidate!!! https://t.co/v4Op61nOVz #CruzCrew #PJNET
rArigoJeep,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
BIGMAN357,"RT @WayneEdH: Bernie gets ZERO Net Delegates in Wyoming!
Plus HRC has +4 superdelegates in WY.
#ImWithHer
. https://t.co/YPlUZoeARp"
m_birky,"Great article, electability based on L-R of center, #ChooseCruz, personality, and message. Looks don't hurt either! https://t.co/ge7QT7e8wp"
NorthCoaGtPs,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
cheryl42058,RT @AmberForAmerica: MT @cheryl42058: Cruz can fix what has been torn apart! Constitutional Conservative Man! https://t.co/x4IVOnpe4i #Cruz…
AmberForAmerica,RT @BikinInMaine: MT @CountingOnCruz: 'I will not be neutral. America will stand UNAPOLOGETICALLY with Israel!' https://t.co/N56n2TALoR #Cr…
Cody_Cotnern,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
YockeyWendy,RT @PrdBlckRpblican: Here's the Lion Ted that we hear about...Its time for a changing of the guard..#ChooseCruz #CruzCrew #PJNET https://t.…
PuskasBilly,RT @kupajo322: @realDonaldTrump @governor_savage https://t.co/x7Y7RTpfQ2
bunkerhillexpre,JERSEY--MOST IMP ELEC OF R LIVES! PERSONAL FREEDOMS R DISAPPEAR'G-GOVT REGS--ONLY ANS BOARD  #TrumpTrain 1-WAY DC!!  https://t.co/wID3picCdh
merriox,RT @CoreyinNYC: .@1199SEIU is fired up for @HillaryClinton! #ImWithHer https://t.co/fEE9Oq4qB5
ksueq59,@TheMasonReport @Wronganswerpal @HillaryClinton @PolitiFact can we c this in the news? I agree! #imWithHer
HollyW81333596,"@Reince can be our Hero, or the most hated man in America!!!  His choice! https://t.co/QPIzESRzVf"
hodi_huston,"Breakfast with my sweetie 💛 (@ The Curve in Madison, WI) https://t.co/yzcLSUXMPT"
tmj_MI_auto,"Can you recommend anyone for this #job? Entry Level Manufacturing Engineer - https://t.co/EoR55aUvAd #Auto #Careers #Saginaw, MI #Automotive"
MarieHyde,@GOP used to more easily hide their stealing. Social media opens exposure. More #nevergop being created every day https://t.co/0Vp5tnbTaA
Judy_Taya,"RT @Real_TrumpFacts: Take the

★★★★★★★★★★★★★★★★
#TRUMPTRAIN CHALLENGE!
★★★★★★★★★★★★★★★★

Answer:

Name ONE conservative thing Donald Trump…"
DrSueDVM,RT @MitchBehna: OOPS! Trump Supporters Believe Satire News Article That Ted Cruz Married Cousin https://t.co/tNX4jQbL17 via @WayneDupreeSho…
cheryl42058,RT @AmberForAmerica: MT @TerriGreenUSA: Thank you @SenTedCruz for taking a principled stand on #NoHearingsNoVotes https://t.co/v0hkRexxhS #…
fhh1126,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
grlone24,RT @catydoodle: California Labor Union That Fought for $15 Minimum Wage Now Wants an Exemption https://t.co/52fCNri2Od  @tedcruz #CruzCrew…
MoonHutch,"RT @alcardfan: #DonaldTrump Donald Trump Once Saved a Woman's Farm https://t.co/bc0RhFcygb …

#Trump2016 #TrumpTeam #YourPotus #VoteTrump #…"
coldwomaninmn,RT @Mwforhr: He's toast #ImWithHer  https://t.co/DpjCwh3FBL
_ChelseaLauren,Last night was the most fun I've had in a while 😊❤️
bummer32,RT @PatriotGinger: MT @jphilman0206: A man of Principle. A man of his word. A man of We The People. https://t.co/rfSXoCc0Ao #CruzCrew #PJNET
Midwood49,"RT @Campaign_Trump: NEW Emerson College New York Poll!
Trump 56%
Cruz 22% - loser
Kasich 17% - boozer
#MakeAmericaGreatAgain! https://t.co/…"
neshawilliams12,@Majaraee HAPPY BIRTHDAYYY BABYYYYYY 👑🎊💕
Mwforhr,And Hillary was a pro! She didn't let Joe Scarborough manipulate her. #ImWithHer @Oooooo_Donna @GStuedler @CapehartJ
hTequeen1909,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
big_carsonrocks,RT @PatriotByGod: This video was banned on YouTube for copyright laws by EA I am going to KEEP posting it because IT NEEDS TO BE SEEN. http…
StopTrumpSPAC,"RT @ImagineAnna: Ted Cruz: ""GAY PEOPLE SHOULD BE EXECUTED"" #MakeAFilmHappy #RejectedBallparkPromotions #WakeUpAmerica #tcot #CruzCrew https…"
iHPapaJohn,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
ChicagoForTrump,"@realDonaldTrump Trump Predicted accurately, our country has gotten worst, Trump is going to #MakeAmericaGreatAgain  https://t.co/Qhw1sPA85B"
majoraustin59,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
Uzu_Brady_3000,"RT @realDonaldTrump: Thank you New York, and Pennsylvania! 
#MakeAmericaGreatAgain #Trump2016 https://t.co/sziCGsvGbz"
Iswitched2Trump,#TrumpTrain lets get #7INaRow trending!! #MakeAmericaGreatAgain #Trump2016 @realDonaldTrump @DanScavino
wildscenery,#assholealert https://t.co/rn0nfNfhuX
b13853s,RT @MitchBehna: OOPS! Trump Supporters Believe Satire News Article That Ted Cruz Married Cousin https://t.co/tNX4jQbL17 via @WayneDupreeSho…
irma_stone,"RT @Libertea2012: RT: Volunteering, Activism is passed down frm generation to generation. #FeelTheBern @Latinos4Bernie… #BernieStrong https…"
AdamUren,@pensionschamp that's it then. This surely renders the 325k threshold irrelevant then? Confused why he mentioned it in his statement
cheryl42058,RT @CruzinAhead: Freinds don't let friends vote for a con artist!!! Do your part &amp; convince a friend!!! #NeverTrump #ChooseCruz https://t.c…
LovesJobs,"#Automotive in #Menomonie, WI: Diesel Mechanic... at Love's Travel Stops &amp; Country St... https://t.co/fp1N4dlYyS https://t.co/k0sKcbzvLq"
