ArifislamBrur06,"#Doordash #Promocode PA3 
#Jet #Lyft #Drizly #Shipt #uber
https://t.co/TAGP5UHnKr https://t.co/3P6oB9oZoQ"
moralesdc,"RT @deejay90192: Hillary Clinton announces endorsements from Maryland women https://t.co/X01JB3csig
#GOTVforHRC #Maryland  #MDPrimary #MD #…"
CaroleDAlessio,"RT @realDonaldTrump: ""@jlopez05391: @realDonaldTrump Rochester loves you! See you tomorrow! #MakeAmericaGreatAgain #Trump2016 #TrumpTrain""…"
MaryLagod,"RT @WeNeedHillary: Feel The Bern: Sanders Tax Plan Would Kill 6 Million Jobs https://t.co/qVOMQoEfIS
#ShesWithUs #ImWithHer #TNTweeters htt…"
PatriotGinger2,MT @RonaldLincoln3: Paramedics For Ted Cruz 2016!! https://t.co/HcmYmvfB3b #CruzCrew #PJNET
CodysdadEd,"WE FLY THEM OVER HERE, GIVE THEM AN EBT CARD,PUT THEM ON STATE&amp;FEDERAL WELFARE,SEND THEM TO SAUDI #VOTETRUMP #NY #PA https://t.co/0fmhHQHcJn"
juliw2010,@BernieSanders jabs @HillaryClinton for adopting NY.  She chose to live in and work for NY.  He chose to go to VT lol.  #ImWithHer
richardlantz1,"RT @realDonaldTrump: ""@jlopez05391: @realDonaldTrump Rochester loves you! See you tomorrow! #MakeAmericaGreatAgain #Trump2016 #TrumpTrain""…"
maryj59,"RT @RichardAngwin: Don't drink the Clinton media Kool-Aid™. Bernie needs 56.5% of remaining pledged delegates.
#FeelTheBern #ImWithHer http…"
ArifislamBrur06,"#Doordash #Promocode PA3 
#Jet #Lyft #Drizly #Shipt #uber
https://t.co/TAGP5UHnKr https://t.co/vTiqu442oT"
vinniepaiano,"RT @GodlessNZ: #JaneSanders beautiful inside &amp; out will be smart, strong, dignified #FLOTUS &amp; #JOTUS we &lt;3 you two #FeelTheBern https://t.c…"
JamesCMiller7,RT @PastorOmayra: #Trump DELEGATE Burning His RepublicanPartyRegistration #BurnDownTheGOP you did this https://t.co/qesbtdpxrn #NY https://…
CliffWilkin,MT @jphilman0206: A man of Principle. A man of his word. A man of We The People. https://t.co/TV7EkdWeK0 #CruzCrew #PJNET
LeslieJones817,"RT @JudgeMoroz: Behold the real #CruzCrew ...

And @tedcruz will do &amp; say whatever it takes to please his donors. https://t.co/GB0lVuckmT"
bloodless_coup,"@LoriKt5bd2 @Lindaba45967679 ""Nuts"" but smart enough to support a candidate who ""hires the best people."" https://t.co/1T8ZG3Ao0r"
retweetallowed,"RT @Cons_Nation: National Black Pro-Life Union President endorses @realDonaldTrump!
#MakeAmericaGreatAgain https://t.co/a8zg72wI2b"
BikinInMaine,MT @CliffWilkin: PROTECTING THE SECOND AMENDMENT RIGHTS OF AMERICANS. #UniteWithCruz https://t.co/QqA5FQqQlK #CruzCrew #PJNET
Imperfect10n,"RT @Campaign_Trump: NEW Emerson College New York Poll!
Trump 56%
Cruz 22% - loser
Kasich 17% - boozer
#MakeAmericaGreatAgain! https://t.co/…"
EvolveQuickly,"RT @suzeye: https://t.co/Z9yyJrFSch via @youtube
Put a little Bern in your step this morning! 
#WeAreLegion #BernieOrBust #PhoneBank4Bernie…"
khaft007,"RT @NYCFPAC: .@TedCruz Picks Up Big NY Endorsement as Momentum Continues, via @CR https://t.co/TuEDHw6ND7 #ChooseCruz #CruzCrew"
PWelu,RT @oldbowers: Desperation leads to bizarre and illogical behavior. https://t.co/ndtj8pOCkT
csirigiano,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
Greeenguy111,RT @ibern4you: #feelthebern Big Push for last 10 days #berniestrong #nyforbernie #NotMeUs #BerNY #WhisperOfADream  https://t.co/n11PggMiT5
ringod01,@0d74125c047c43b @78izzie @mitchellvii @YahooFinance  Spot on! #CruzCrew to stupid to see it.
AmyGreggthatsme,"RT @dawngpsalm63: 🔥🔥🔥🔥🔥💣
#BurnTheGOP #ReinceYourFired 
.@cologop sue their ass 
#AlwaysTrump 
#TrumpTrain
#WeThePeople r vote counts https:…"
Sofiap1,"RT @RichardAngwin: Don't drink the Clinton media Kool-Aid™. Bernie needs 56.5% of remaining pledged delegates.
#FeelTheBern #ImWithHer http…"
sahlavern,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
tzoj110,RT @kupajo322: @WayneDupreeShow ☆》They Don't Care About #America 》$$$ &amp; Power Is •ALL• THAT MATTERS #TrumpTrain ☆☆☆》 #Trump2016 ☆☆》 https:/…
bsstrickdanl,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
littlepiggies72,"#VoteTrump #AlwaysTrump
#OnlyTrump  #NewYork #RhodeIsland #Pennsylvania #NewYork4Trump #Delaware #CT #Maryland  https://t.co/zRY6QZqRJI"
cholmes66,Represent! https://t.co/yYAbX2nkr4
Jewelsc6luna,RT @PrdBlckRpblican: Unite with Cruz or we all lose...Be a part of the Cruz Crew!! Join the movement! #UniteWithCruz #PJNET #CruzCrew https…
rolak_lou,RT @tritriona: Sure. You go first then. And then #ReleaseTheReturns when you're done. #ImWithHer  https://t.co/jnqpLwCsjf
sncservicetrisp,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
angelakussy,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
time4T,RT @Bart_39: MT @bcwilliams92: If This Is Your List Then Ted Cruz Is your Guy. https://t.co/hTWsCANj0m #CruzCrew #PJNET
kits54,RT @rahthrae: Riiight.  Except for that nagging little detail that Trump FUNDED the corrupt political mess!  Idiots!  #NeverTrump  https://…
grammybijou3,"RT @sandyaschneider: WTF... Ted Cruz came in 3rd in South Carolina... But now he stole the delegates, meaning your vote does not count #Tru…"
Missy_Kidd,RT @TrumpNewMedia: @realDonaldTrump Cannot #TRUST politicians 'Only #DonaldTrump can &amp; will #MakeAmericaGreatAgain for all Americans'! http…
aimdocjam,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
ChristyBuzkePR,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
majeasy,"""We Need A Honest President"" 
Buy Trump a beer ""Donate"" 
https://t.co/VRE08poWuc 
@realDonaldTrump 
#CruzSexScandal  https://t.co/SDp4OcSEcZ"
pinkedout60,"RT @RichardAngwin: Don't drink the Clinton media Kool-Aid™. Bernie needs 56.5% of remaining pledged delegates.
#FeelTheBern #ImWithHer http…"
violet7489,RT @maxlydic: #TrumpTrain 6 hrs and 24 mins to the Rally Rochester NY 3 PM EDT 4-10-16 https://t.co/dlpofoD9IS https://t.co/dwEC2tmBKi
meetnpatatas,RT @DonnyJHuber: Keep the tradition of NY BORN politicians alive! #BernieSanders #BernieStrong #NYPrimary @SenSanders @FDRLibrary https://t…
MoonHutch,@ScottBaio @JcJanette #MakeAmericaGreatAgain @realDonaldTrump !
lorie1917,RT @AmberForAmerica: MT @FranklinMan25: Ted Cruz calls the enemy by name! and  will utterly destroy ISIS! https://t.co/NvHn3l7AmV #CruzCrew…
Burmkabg,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
wilson6923,"RT @Libertea2012: MT We're liberals We aren't sexist We are happy with our QUALIFIED LIBERAL, Bernie HRC is a qualified… #BernieStrong http…"
MalcusD,RT @hillx123: @realDonaldTrump is the only one that will Fight d.c. corruption... #VoteTrump #MakeAmericaGreatAgain  https://t.co/4ss19uMxCv
WandaMercado,RT @tedcruz: Thank you Colorado for another resounding victory! https://t.co/PXWWcifJKK #ChooseCruz #CruzCrew https://t.co/zhMVq5QpeH
jw33062,RT @RealDonalDrumpf: We can do this the easy way or we can do this the hard way #TrumpTrain #GetOnBoardOrGetRunOver https://t.co/BcZ58i6Ebf
CaroleDAlessio,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
EvolveQuickly,RT @4OrganicFood: #NYPrimary #PAprimary #CAPrimary #NJPrimary @HillaryClinton 's private server continue 2b problem #BernieorBust https://t…
Lorrilala,RT @ScottTBriscoe: @realDonaldTrump @KatrinaPierson @scottienhughes  #TrumpTrain #Trump2016 #RochesterNY https://t.co/TbsB4zCwE8
xXHexagonXx,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
stevekore83rb,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
AmyGreggthatsme,RT @SheriffDeput: “WE THE PEOPLE WILL CONTINUE TO GO FORWARD WITH TRUMP!”@realDonaldTrump #Trump2016 #TrumpTrain https://t.co/V8UIxEzfTr
JanieceStaton,RT @TweetingYarnie: Oregon Independent voters u have to be reg as Dem to vote for Bernie&gt; https://t.co/QiHMj3q7Xa #Portland #ORprimary  htt…
LorialDavidson,@HillaryClinton #HillYes #ShesGotThis
adami912,@HillaryClinton @BernieSanders #FeelTheBern #ImWithHer #BlackLivesMatter #BlackTwitter #WhichHillary #StillSanders https://t.co/I8fxtKpiPm
egsaupikf,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
DNosegotten,#FeelTheBern #BernieInPhilly #BernieInTheBronx #ImWithHer #NYPrimary #HillarySoQualified #HillaryResearch #bernout https://t.co/sD4xRNJVrH
aroundthe49th,"@MELANIATRUMP @DiamondandSilk love them, but they should be holding hands.  #VOTETRUMP"
4AmericaToday,"RT @Campaign_Trump: NEW Emerson College New York Poll!
Trump 56%
Cruz 22% - loser
Kasich 17% - boozer
#MakeAmericaGreatAgain! https://t.co/…"
SandyMullins19,RT @PastorOmayra: #Trump DELEGATE Burning His RepublicanPartyRegistration #BurnDownTheGOP you did this https://t.co/qesbtdpxrn #NY https://…
CatherineTholl,"RT @Campaign_Trump: NEW Emerson College New York Poll!
Trump 56%
Cruz 22% - loser
Kasich 17% - boozer
#MakeAmericaGreatAgain! https://t.co/…"
Trumphanatic,"RT @ImagineAnna: Ted Cruz: ""GAY PEOPLE SHOULD BE EXECUTED"" #MakeAFilmHappy #RejectedBallparkPromotions #WakeUpAmerica #tcot #CruzCrew https…"
plushbunnygore,"RT @Socialist_Times: Stop shaming women who support Bernie into voting for Clinton https://t.co/FNym35huFt
#Women4Bernie #ImWithHer #P2 htt…"
progressive4u2,RT @Code_switcher: Bernie only has 42% of the popular vote. So urging super delegates to vote the will of the ppl means vote Hillary. #Feel…
NancycBa1,"RT @LindaSuhler: The truth is like a lion;
you don’t have to defend it.
Let it loose;
it will defend itself.

#MakeAmericaGreatAgain https:…"
ilsevandegrifbt,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
LarrynCosmo,"RT @BrandyPrice77: And Sanders has Sarandon, Silverman, Robbins and Baez. Talk about getting slaughtered. #ImWithHer https://t.co/Ow3HVgS9vD"
Joshuilelv,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
MissModGril,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
RealtyUynit,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
Dbonen1,RT @rafealcuzr66: #CruzCrew: RT TexasTribune: .TedCruz sweeps delegates up for grabs in Colorado | PatrickSvitek reports: … https://t.co/yn…
bensr_1,RT @CliffWilkin: MT @bcwilliams92: Rush - #TedCruz Fought the Washington Establishment. Trump Donated to it. https://t.co/d3qxoVYzlp #CruzC…
2016HillaryGo,"She is the greatest leader women, minorities and especially #LGBT ever had in modern history #Hillary2016 #ImWithHer https://t.co/Vjkzf6UB5X"
