D_Ericson,RT @nhdogmom: #ImWithHer #HillYes #HillaryClinton https://t.co/31y3hCDrhD
resist_r,@VanJones68  I'm #BernieOrBust yet I still have a list of his failings at the ready. Elevate the discussion not the candidate.
debz526,"""Million #MAGA March"" Need 1M Signatures 2protect/secure @realDonaldTrump right https://t.co/0AzKyvBaTh #TrumpTrain #MakeAmericaGreatAgain"
bloodless_coup,"""He's having what I call and adult intervention,"" says .@JohnKingCNN just now. LOL. It's TRUE! #CruzCrew #UniteWithCruz #NYPrimary"
crookedgop,#Bernie been more of a #Democrat than 75% Democrats over the years Dems bull-shitted US long enough  https://t.co/PFRSLNwihN
ali_scarmel,RT @maxlydic: #TrumpTrain 6 hrs and 35 mins to the Rally Rochester NY 3 PM EDT 4-10-16 https://t.co/dlpofoD9IS https://t.co/hgZuRWoyB3
maxlydic,#TrumpTrain 6 hrs and 27 mins to the Rally Rochester NY 3 PM EDT 4-10-16 https://t.co/dlpofoD9IS https://t.co/UVCoINKnhn
Claurenen,https://t.co/PgVNI9JiAO Retweeted https://t.co/7So1eVvCmj
fbutry,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
Phishie_Philly,"RT @trump_world: ""My superpac? The american people!""
@realDonaldTrump 
GO TRUMP!
WE GOT YOUR BACK!
#MakeAmericaGreatAgain
#Trump2016 https:…"
3tdddvwpzrt,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
therealcinn,RT @skyoversc: #BernieOrBust https://t.co/vTHNE3xXEr
Libertea2012,RT: A quick note on the importance of the #NYPrimary. Help get NY voters to… https://t.co/xpfGr0JpLG #BernieStrong https://t.co/9XS5I0khfT
jimbonier,RT @Libertea2012: MT All of a sudden these wonderful Bernie and Jane pics are all over social media. In response to HRC… #BernieStrong http…
LoftisTracey,"RT @Libertea2012: RT: Mary visits her son in Brooklyn, NY and together they spend the day phone-banking for Bernie… #BernieStrong https://t…"
vickijee,RT @TomDangora: @HillaryClinton is more than qualified #ImWithHer https://t.co/zWktgzFUHG
PoliticsGhost,#TheChalkening is proof that the #TrumpTrain is a legitimate WORLDWIDE MOVEMENT! @realDonaldTrump #CapitalistArmy #TheChalking #Trump2016
ethonothan,I just wanna see the world.
johnnydimple,"RT @JudgeMoroz: Behold the real #CruzCrew ...

And @tedcruz will do &amp; say whatever it takes to please his donors. https://t.co/GB0lVuckmT"
MatthewDraud,RT @skyoversc: #BernieOrBust https://t.co/gmlSVc4ZxX
adrinatrpoeh,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
AmazonTraveler,RT @HillaryIn2016: Hillary Clinton Launches First PA TV Ad (VIDEO) https://t.co/lfE4wMC5EG #Hillary2016 #ImWithHer
HillaryPix,#ImWithHer #FeelTheBern #BernieSanders #HillaryClinton #NewYorkPrimary #BernieOrBust #Hillary2016 #NYPrimary https://t.co/pcPFhHRhos
barbya1,"RT @InnerDonald: ADD ME TO YOUR EFFORT, CARMINE
#Trump2016 #NYPrimary @FoxNews
#ALWAYSTRUMP #MAGA #DTNews
#TRUMPTRAIN #TRUMP @REINCE https:…"
TruthCrier,RT @SuperCzech01: MT @CliffWilkin: Led way to preserve the words 'under God' in the Pledge of Allegiance. https://t.co/lp8mWErvpa #CruzCrew…
Raye1031,Where u at
hempoilcures,PROOF: #GOOGLE CHROME TRIGGERS MALWARE ALERTS FOR &amp; CENSORS CONSERVATIVE &amp; ANTI #NWO ARTICLES https://t.co/SQcA56OIVB #TrumpTrain #MAGA
LiveFreedomOrDi,RT @tedcruz: Thank you Colorado for another resounding victory! https://t.co/PXWWcifJKK #ChooseCruz #CruzCrew https://t.co/zhMVq5QpeH
kvmidd85,#UniteWithCruz #TrusTed #ChooseCruz 4 #PresidentCruz #LionTed #CruzCrew #TeamHeidi @tedcruz #PJNET https://t.co/oei9o8QbGl
GoDannyAddison,Donald Trump #TrumpTrain 2016  X-Large White Custom Decal #republican  #ccot #ccot #nra https://t.co/w2Ihehel7S
theAdaeNalm,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
busterjones9,Donald Trump #TrumpTrain 2016 HUGE White Custom Decal #republican  #tpp #2a #2a #trump https://t.co/wzxLK1eqtM
cowgirlpuncture,"https://t.co/ncrvRgCSwt
Temptations Ball Of Confusion
Joe Biden Arrives
 La Posada 
Santa Fe New Mexico
YESTERDAY https://t.co/aYhQDGLieZ"
CNM_Michael,R/T @byjayroot's interview with first-in presidential contender @tedcruz: #CruzCrew #Cruz2016 https://t.co/z2CbchzUYD
ZVBK,RT @PatriotGinger2: MT @CountingOnCruz: 'I will not be neutral. America will stand UNAPOLOGETICALLY with Israel!' https://t.co/uskP4ZhmmI #…
JanAustin13,"Let's remind all of the ""officials"":

Of the PEOPLE

By the PEOPLE

For the PEOPLE

#Trump2016

#MakeAmericaGreatAgain"
Justice41ca,Never Cruz only candidate that says he is sanctioned by God there's a warning about that https://t.co/6oXADPvEIu
DrCongress,"Dear #Congress, either do you're Job or you're https://t.co/EVOGY5Mkw4  https://t.co/1CTNUymr47"
HTAA1881,The 2016 HOME DEPOT RETOOL YOUR SCHOOL Campus Improvement Grant Program is Back! #THD_RYS  https://t.co/btFS3VCx2k #Tuskegee_RYS16
johnnydimple,RT @ImagineAnna: Ted Cruz supporter MOCKING 9/11 VICTIMS #MakeAFilmHappy #RejectedBallparkPromotions #WakeUpAmerica #tcot #CruzCrew https:/…
c1t1z3xn,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
peachesgirli23,"RT @OnlyHotyP: #Trump2016 MAHER: Michelle Fields Has Lived Life of ‘Charmed, Lucky, Clueless… https://t.co/eV17wAx4oJ #TrumpTrain https://t…"
BoCleo2,Go rally Rochester Pastor!  May the whole country hear it loud n clear:  USA!  USA!  USA!  #MakeAmericaGreatAgain  https://t.co/hr01wXPZ5I
jacquefairbnuor,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
DrCongress,"Dear #Congress, either do you're Job or you're https://t.co/EVOGY5Mkw4  https://t.co/GLYpOafjrH"
Costello13Susan,Took the words right out of my mouth! Lol excellent read and RT #Trump2016 #TrumpTrain  https://t.co/8nBwqnHP1G
DrCongress,"Dear #Congress, either do you're Job or you're https://t.co/EVOGY5Mkw4  https://t.co/65zM80PxWg"
julynewmoon,@aheadofthemass felt 4 a while was conspiracy btwn Hillary &amp; elites (DWS) to drop firewall &amp; set Bernie up They stole all Bernies voter data
finfanelsa,"RT @LindaSuhler: 💥RALLY TOMORROW
🎉Donald Trump Albany NY🎉
✔️ VOTE #Trump2016 #NY
7 PM EDT 4/11
#NYValues
#NYPrimary
#TrumpTrain🚂🇺🇸🇺🇸
https:…"
DrCongress,"Dear #Congress, either do you're Job or you're https://t.co/EVOGY5Mkw4  https://t.co/huGqvIDLw5"
PoQNDI,"2 learn constitution, C @PubliusHuldah. No 1 better 2 teach U @realDonaldTrump  https://t.co/05hEKZnhdt #TrumpTrain #PJNET #TCOT #Trump2016"
abusybookworm,@BadFatherHan This is some serious stuff: #HanSolo campaign? #OboWanKenobi gains momentum. #MakeAmericaGreatAgain https://t.co/HFhM49p5mh
cliffran,"RT @trumpaboard: WE ARE BURNING OUR GOP REGISTRATIONS! 
The Trust is Gone! 
The GOP is Gone!
#TrumpTrain  WILL MAGA! https://t.co/oizgYqITiR"
bloodless_coup,"""He's having what I call an adult intervention,"" says .@JohnKingCNN just now. LOL. It's TRUE! #CruzCrew #UniteWithCruz #NYPrimary"
docwindprod,RT @MarciGreen: Iv'e been for #Bernie since day one .I've been a Dem my whole life. HRC's desperation crossed a line with Sandy Hook. NOW I…
UTHornsRawk,"RT @TrumpNewMedia: @realDonaldTrump John Kasich Goes All In For Amnesty For Illegals https://t.co/oYfoj99Ajo 
#AlwaysTrump
#VoteTrump https…"
bagiver2,"RT @starknightz: ""If the Trump wall was built these folks would still be alive today.""
#TrumpTrain
#Trump2016 https://t.co/WQR1fONcS1"
colleengourd,RT @OrganicJeremy: 50+1 delegate sweep for Trump👊🏻💯 #MakeAmericaGreatAgain  https://t.co/ydMfXf43BC
PatriotGinger2,MT @FoxNews: @tedcruz discussed his Christian faith with #MegynKelly. https://t.co/7diQfpVhHQ #CruzCrew #PJNET
ROCify,"RT @male75081: #NYPrimary #NY #Roc #NYValues
If offended by #trump then #nevertrump, not 4 WH! 
#voteCruz 4 constitutional POTUS!
https://t…"
barbya1,"RT @NMarco331: I second this pledge @reince , @GOP
But, I've been warning you for weeks now.

#AlwaysTrump #VoteTrump #BurnTheGOP https://t…"
anthony5505,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
CatchlightAnne,"RT @RichardAngwin: Don't drink the Clinton media Kool-Aid™. Bernie needs 56.5% of remaining pledged delegates.
#FeelTheBern #ImWithHer http…"
chanchile,"RT @RichardWeaving: Many Reasons To Vote TRUMP !
#MakeAmericaGreatAgain
#VoteTrumpUSA 🇺🇸🇺🇸🇺🇸 https://t.co/TEqUbmD9HF"
FCSympohny,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
Sammie_Snickers,"RT @WDFx2EU: Gratz, #CruzCrew, you got your establishment #Rhino https://t.co/HnFsA9TdFY"
solarfysysstem,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
RegularTCA,RT @PoliticsGhost: #TheChalkening is proof that the #TrumpTrain is a legitimate WORLDWIDE MOVEMENT! @realDonaldTrump #CapitalistArmy #TheCh…
neaner069,RT @occupyhr_: EveryStateSeems2HaveHad SomeLevelOfVoterFraud&amp; Suppression&amp;InSomeOutrite ElectioneeringDont4GetThat HRC/DNC/DWSScam https://…
dwyer_barbara,GOT MY EYE ON AMERICA #TrumpTrain https://t.co/lX54daj8GQ
TheEclecticeudD,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
jstines3,"It may look YUGE now, but it's still going down!

#ChooseCruz #CruzCrew #NeverTrump #PJNET #TCOT 

https://t.co/kkHJVmQOdg"
haileyerin__,pretty sure someone tried to stab me last night....🤔
BelithGarcia,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
mnrosrnr,RT @kincannon_show: Most of these Cruz positions are brand new. Trump has held all of them the entire time. https://t.co/ICcs9GKPKl
Apostolidis_H,RT @Libertea2012: MT Erica Garner's amazing advocacy for #Revolution &amp;; .@BernieSanders… https://t.co/VBWBcChmf1 #BernieStrong https://t.co…
MrVeritas,"St. Augustine also said man must chose: ""Civitas Terrena or Civitas Dei,"" the city of the earth or the city of God. https://t.co/Ze9gjooqr8"
Raye1031,On the way
fsvote,@brithume   politician spin all their time sceeming against American instead of other countries.
llanero2009,RT @MMViverito: And then there is this...#ImWithHer #EstoyConElla #EstamosConElla #WeAreWithHer cc: @HillaryClinton https://t.co/6c4aq5xyua
Oesch8,RT @CliffWilkin: MT @RichardJSunkle: In your heart you know voting for Ted Cruz the right thing to do. https://t.co/XOFgfhC2Kr #CruzCrew #P…
SaysSheToday,RT @edmeyer_able: And if we don't #UniteBlue #VoteBlueNoMatterWho it will be OUR FUTURE #FeelTheBern #HRC #ImWithHer  https://t.co/LVsNc4kC…
AmmarH9020,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
celiabonavita,Wow. Do U know if this is verified? Where is link becuz I want to share it? #BernieSanders #BernieOrBust = only way  https://t.co/oN5MdtXUB0
olliepopkin,"RT @HogeAnita: @tedcruz #CruzCrew Taking NamesKeepingScore VoterPsychProfiles-JustLikeGov't
@olliepopkin @HDawn29 @TRUMP_PREZ https://t.co/…"
