djgrolyo,#ImWithHer #feelthemath #april26itsover https://t.co/sYCeEMGQPN
LilRe112d,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
Sadiepunkin,RT @immigrant4trump: RETWEET if you think Melania would make a great First Lady! #MakeAmericaGreatAgain #Trump2016 @realDonaldTrump https:/…
MissMikmylaBee,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
imfugus,"RT @NeilTurner_: @realDonaldTrump https://t.co/RBt4zoJE8n Don't support puppet candidates, support Trump - #VoteTrump! https://t.co/g8VNM2T…"
SCforfreedom,RT @WayneDupreeShow: Boston Globe smears GOP front-runner Donald Trump with fake Sunday front-page headline https://t.co/AYgT1aLpMo #TrumpT…
DWilloughy,"RT @Hillary4Florida: Hillary Clinton: QUALIFIED.

❤️🇺🇸#ImWithHer #Florida #WYCaucus #NYPrimary #HillYes #Hillary2016 #UniteBlue #Wyoming ht…"
Liee4Trump,"RT @ElseMarilyn: #NYValues #CAPrimary 
#NYPrimary  #PAprimary  #AlwaysTrump #PresidentTrump
#TrumpTrain #Trump2016 
#NeverCruz https://t.co…"
dyauka,@_KELSIELAUREN road trip but I'm omw back ya Wa
RichieKing187,Goodnight 😴
rukiddingme242,#FeelTheBern #NYPrimary #ForThePeople #BernieOrBust  https://t.co/6vFb2QorYs
Johnsontx5Diane,RT @Bart_39: MT @bcwilliams92: If This Is Your List Then Ted Cruz Is your Guy. https://t.co/hTWsCANj0m #CruzCrew #PJNET
ksfay5,WANT TO SAY GO 3RD PARTY BUT I'M OLDER AND SEEN GOOD CANDIDATE GET WASHED OUT AND CHAMELEON CRUZ &amp; HITLARY WILL WIN https://t.co/wAF2MlBrcV
xusafsmokeeater,"RT @realDonaldTrump: ""@jlopez05391: @realDonaldTrump Rochester loves you! See you tomorrow! #MakeAmericaGreatAgain #Trump2016 #TrumpTrain""…"
SamualLClemens,"RT @whodoesthat945: @BenJealous @DonaldFTurner @CamelotGypsy @BlackWomen4Bern 
@Story27368218 @Ronc99 @shipman96 
#FeelTheBern #Ouch  https…"
_raiimrlbee,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
shungulluu,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
jeepathecreepa,@damonzex So..Lets hope you voted for Sanders..Otherwise..I am going to-DO NOTHING..because thats what most people do #losing #BERNIEORBUST
NeuhausBrian,RT @ebonics_: #HillaryResearch the hell out of this #FeelTheBern #BernieOrBust #ImNotWithHer #BernieMadeMeWhite #WhichHillary  https://t.co…
glenmilam,"RT @NewYork4TedCruz: Trump May Suspend His Campaign As Poll Shows 7 of 10 Don't Like Him
https://t.co/m1OnAW1qTw
#NYPrimary #NewYorkPrimary…"
Js76lio,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
mmccdenier,@worldmeetjohn Great meeting..one political disaster and one impending one
D_Ericson,RT @Millennials4Her: .@CoryBooker come to Buffalo for @HillaryClinton! We'd love to have you! #ImWithHer
AlexLaoind,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
scmagoun2,#Women4Trump #22women #wisconsinjobs #DemocratsForTrump #BlacksForTrump #hispanics4trump #LatinosForTrump #VoteTrump https://t.co/fEWNiydPAg
CharleneBaron,"RT @realDonaldTrump: ""@jlopez05391: @realDonaldTrump Rochester loves you! See you tomorrow! #MakeAmericaGreatAgain #Trump2016 #TrumpTrain""…"
raincoatgirl_,"RT @LindaSuhler: 💥RALLY MONDAY!
🎉Donald Trump Albany NY🎉
✔️ VOTE #Trump2016 #NY
7 PM EDT 4/11
#NYValues
#NYPrimary
#TrumpTrain🚂🇺🇸🇺🇸
https:/…"
