Dannny0117,@jacinta_Ip @SamanthaYenigue lets get it then
alflint,"@xenophrenia #resistcapitalism Read up on Maoist China, North Korea, the USSR, the leaders had property, the entire population were slaves"
Jared_proudfoot,@lacie_rose61297 good 😂
official_tighe,@RachelLovora is the most beautiful person I know
morg_snyder2,why did I ever question you?😍
_kwilkerson,If you're gonna be boring then don't talk to me
Lando_1207,You could catch feelings I wouldn't return them and I would still treat you right
hiltzvictor36,@Daniel77Packer I know my friend that's why I'm going to send you some. Your not missing out on much lol https://t.co/bELihVaBnD
Alex_Harning,The Mexican hotel California is worth a listen
Dee_Ar_Jay,Lol.
sydney_kalmar,like for a tbh from me and @monika_2424
josievandykee,as if
troi_lamb,Just a revolving door
carney_jeffrey,"@48hours @TroyRobertsCBS Sorry I missed tonight's episode of #48Hours, but went to an phenmoenally organ concert @CameronOrganist"
effess3,@EightSexyLegs youski?
arnett35,@LexiMiller_ hell nah...
jeschumann50022,@jTimclerlake infinite brother
destroy_time,"@thejenlife I have that same misunderstanding of people in general. Assumption of rationality is inherently irrational, I find =/"
Kleinbrendan19,😂 https://t.co/N2zjFZxvrS
MrChristopherX,No but I should be https://t.co/YUAGc1btrw
alimarieeee,Clint told me I Han an attitude problem.. #nottrue
_kxll,I should be sleep right now
KellsCarpenter,@bea415 @jzzsxham do I call her anything else
bltoopes,Dangg Son
RWHairStylist,@HammieHamHam it all matters.
luhhbabby23,@Itskaykayyyyy dude shut up
MaryyamAS,I want this semester to finish already 😒
Tre_Bayy_,Goodnight man. Smh
taverenheroes,"@Maddie15Taylor @WickedQueenOni is say, ""Babe, NO."" and Kol calmed down immediately. Look at the effect she has on him omg"
iksotrebil,Upset tonite
DonniePease,https://t.co/7FeOVgMp2o
Alex_Harning,Hungryyyyyyyy
milypaigee,2:52 AM 🌻💖
DOMson_Square,@theSHAN_wow why did u do that. U knew I liked him
AyJayOfficial,@festivuslive come on bro! Gotta tell me when your goin out!
Jared_proudfoot,@lacie_rose61297 @XoLewis Makayla put her to bed 😂
aIiened,it's been gr8
mattc356,Some people
carabertucci,@NSerafa I miss you
hurontrader,Sheffield sewer project moves up to Barry Ave https://t.co/oBsg7wasbR
jesserumpca,"@skaldge the check, I believe, is rewarded by generosity, not reluctancy"
fosco_dash,@_bridget_anne_ https://t.co/2AbOekm4D9
saraharon14,Me too😂😂 @wordcaden01 @LilyRuble
cassidyfarwell,I actually that my cousins last time I try to party with them @NicoDeluca91 @coreydeluca ..... Sad day
kathleennreilly,"We just need some...
real ass hoes&gt;&gt;&gt;&gt; instead of... fake ass bitches"
Gmurderr,Workin
destroy_time,@ArchivistBecks Yet you are still amazing sir!
Queeenlivi,Amen  https://t.co/gYLAzDOtnk
leilah_ayn,"""if a girl told me she doesn't know what contouring meant i would be like girl bye.. fucking bye!!"" 😂😂😂😂😂😂😂"
Jared_proudfoot,"@lacie_rose61297 if you lay down and close your eyes, your tummy feels better"
kaleighmulligan,"I'm at Studio Paris Nightclub - @studioparischi in Chicago, IL https://t.co/eZxxt4t3yf"
LoganVlk,women are a never ending mystery
mjwalker1200,@melliewags great album https://t.co/Z3DbP5Vdrn
nate_gutkowski,T-Shirt
Alex_Harning,I'll pay for food
Gabhiefifteen,Ung sasakyan sa tapat namin natapalan buong sasakyan ng snow 😂😂😂❄️❄️
odessamariebby,@_itsselinaa miss you to bff😘😘😘
Italian_Mamba,oh my dis side😁
hahavalerie,miss the old days when I was genuinely a happy person
arnett35,@LexiMiller_ they are ass
qveentiye_,The worst thing you can do is lie to me 💯 I might not like the truth at first but honesty is everything
Jerian_thomas10,@Kyle_Zeigler13 @JROBB23WB bro it's lit 🍻
wynterlights,Lollll just shut up ur so annoy
FitFlyFellow,@3LWTV Was it good? @TheBossFilm @ArcLightChicago @TPAIN
SweesyMarsha,"@RNRMichigan @RNRCalifornia Obama's Muslim refugee ""surge"" begins, at least 10,000 before Sept https://t.co/aNOCxkQGY2 via @creepingsharia"
hiltzvictor36,@Daniel77Packer it really does. To be honest they bring me much joy :)
Coochieking96,Help in Detroit sos https://t.co/6VGb9G2zev
Prettyelissss,Connect four anybody.?😂🆙
alflint,@xenophrenia #resistcapitalism They ALL do it by design. None of them are free of it
domdomdenson,Tonight was so much fun!! I could not be happier! 😍❤️👅😏😉
kathleennreilly,real ass hoes&gt; fake ass bitches
samm_i_am018,This my favorite https://t.co/oCEZgZDJQm
E_Bayyyy,😂😂 lol why is this funny https://t.co/zoECsf2C7k
DavidPStein_,@CanadianKansan I think about that all the time!
notnyah,📠📠📠📠📠 https://t.co/aW3an6JpFf
ETEMikeShannon,😎TOMORROW NIGHT😎SUNDAY FUNDAY will be hosted by @FIREQUEENSUTRA at… https://t.co/odgyXZnx8Y
carabertucci,@NSerafa please hang out with me as soon as school is out
Ariel_DopeAF,I hate that I gotta miss u for the rest of my life
EddieRobles2,Someone come hangout with me
iamnathanslaven,"Tired AF lol.,"
petersonash,Living on Michigan Ave was the best life choice I've ever made
wynterlights,Lollll just shut up ur so annoying
illamakesbeats,"I grew up on Kanye, R Kelly, juke music, adult swim commercials and Lauryn Hill."
cprfx,@nicholbagal yes
shayylee24,@bmay704 HAPPY BIRTHDAY 🎉🎉🎉
luhhbabby23,@Itskaykayyyyy can you go to bed dude
cutelikewesley,@Tuckingbarone i love you
sam_jaskow,Show ya gma https://t.co/b2527sNQS8
sidneyhayes_,Hahahahahahahahaaaaa I wish something could work out for me for once
NasstyyNATE,@holly_arneil22 do you miss me or what!!!!?
jealousjaebum,but I love taeyong
CLEVERSIVAN,My cat is being such a pain
Ashhhhlayyy,I'm here  https://t.co/Psdq7Uox5v
KarlJCorpuz,@iRdmsoler the who??? Hahaa
courtney_cook11,Lol
carolinelicax,wow tonight was crazy
DonXXXPrince,@CurvyQuinn first black cock first scene new girl has been broken in #interracial #hardcore #bbc #naturalboobs https://t.co/ZMkdeJoxNi
HeartbreakCezer,Impatient ...
mSperoni,@edzitron it's like Mike Haggar with a katana.
MikeGomez08,RIP Will Smith. Incredible player for Ohio State. Top class professional. Super bowl champ. Rest in peace. Taken way too soon. 🙏🏽
LILMOODY__,Get hip  https://t.co/zm6VXEI4Pf
destroy_time,@skirtsnhose yeah we kind of give it out with or without request =P
clintontennsee,@ROLANDBLUNT5 goallllll
TheeNegative0ne,"Why does so many people have to judge others?  Look in a mirror mother fuckers! 
#glasshouses #dontthrowstones"
colinleinbach,@AprilMaeJune We're brilliant.  https://t.co/Tg9r8gGLPU
madshuey14,Like for a tbh from @RojasWestall @zuvvah @sara_commers and i!!!
loruhschmidt,@seanzimdars @shelleymara lies
fosco_dash,@THESAMGROSVENOR @_bridget_anne_ oh gosh here comes the power couple....
TIMURHANSON07,@jimmy_dore Book Base America 100 billion dollars a year on overseas military bases alone. 2trillion dollars in ME since Carter
Kasia_Maurion,Escape from reality 🙄
MoniMunster,I have a headache now 🙄
nictactoe,cucumbers but no ranch... it's an abomination
sienasparkles,I love when you find someone to talk to and you just click and its like you never want to stop talking to them
ppringlez,I've barely had any communication with anyone today. I'm going nuts
Jared_proudfoot,@XoLewis Jesus... Lacie's fucked 😂
ashh_weirmier,Goodnight 😴💖✨
JobsatNCGHotels,"#Hospitality in #Middleton, WI: Food Server-Bistro at NCG https://t.co/NCWPdgPDby #travel #diversity #hoteljobs https://t.co/za91TyIZiR"
priyashamu,@perlucidum @asapanj it u
ShawnVega4,I hope I can accomplish my dreams one day
gasdog64,"Played some @MovingHazard today,
Nothing like some pvp, and using Zombies to my advantage!
I'll have to stream it sometime! Tons of fun!"
emma_bee,"""99.9% of these fuckboys can't fuck me"" 😏👍🏼🍻🤗👋🏼🙌🏻👌🏼🙌🏻🔫💕❤️"
luhhbabby23,@Itskaykayyyyy okay love you be safe 😘
Dannny0117,"@jacinta_Ip @SamanthaYenigue we all get it, we split the cost , @MatthewLush has to pay more tho just cuz :P"
idiot__name,@NicoleDeCapite turn on captions for that video
nellebellee,Dreading typing this paper tomorrow 😂 trying my hardest not to go to sleep💀
anthonywhite21,@50ShadesOf_Sara what's up otaku anime Manga toonami faithful I'm just making friends follow me I follow back twitter buddies conversation t
AuddyLynnDT,Just got the @thejeffreymarsh App and I'm already in love with it!!
chef_oso,Having  a couple of drinks with my kid brotha https://t.co/Q4S1yi1JvB
milesahoe,1 more blunt then bed 😅
Gabe_Riske18,OML It was fucking lit!
kailamalik1998,Who up👀
_jcollins14,i think im gonna mop and rewire my room on my days off this week.
LoveYa_Kelsey,Does a dude you're ever feeling look 10x more attractive when he's flirting when someone else
bowlsornothin69,That's sooooo ugly
drakessidehoe,You're such a fucking hypocrite
njcasido,Love my city
kathleennreilly,@jstace hahahahha
E_Bayyyy,@J_Jaaay seriously tho. Lol I may switch sides in aug.not sure yet lol.  I feel like I wouldn't know what to do on an iphone.
AlmightyPG,Ima dead beat cousin
brie_cole,@maddiemillsss I'm laughing so hard
EscarenoM,My girl is so talented.  https://t.co/fNoP6IRuGq
amanda12louise,Not how I expected this night to go.
Kasia_Maurion,People always talk the most about things they know nothing about
angschmitchen,omg
PhilEsguerra,Good night with the homies 😀
BIG__RACKS,I literally don't talk to nobody
DigiRanma,"""I can swallow you whole right now!""  I'LL SWALLOW YOUR SOUL, I'LL SWALLOW YOUR SOUL!  #OnePiece"
samm_i_am018,Vic finally is done FaceTime her boy toy from the club &amp; it's bed time Yayyyttyyyyt
Atessar152,#youtubedown fix your s*** https://t.co/noNSYQvVgy
leilah_ayn,drunk amanda is my fucking favorite amanda. she is literally me in 10 years. 😂
jusswrite,🐘
MoniMunster,@AnanSterb tried. Not working.
KaitlinJeske,I ❤️ when people finally fucking realize I've BEEN right🙄
Kendra_Wagner8,@Mandy_Rose99  https://t.co/ZOGVHpdEZ1
jadamister,"I show people pics of my bestfriend bragging about how beautiful she is inside and out, they probably think I'm a lesbian"
Anjiejiee,Funny how I always know when I'm going to get fucked over and I always make the same mistake
wixster42,Finally grand finals
lillysolis_123,panda
morindestinie16,Annoyed asf where oomf fr
minaxkate,@ladyxsith https://t.co/CHDagKjgsI I always put this on quiet enough and under my pillow. Knocks me out in 10 minutes tops
DonniePease,https://t.co/sGWcHxkT5M
bgilland,No. https://t.co/ZFqgIEkhfS
fosco_dash,@THESAMGROSVENOR @_bridget_anne_ that I know brother that I know!
lilalbigworld,And I know how to save a life.........................
cassiexx3,When the bar night ends with an ambulance and a stretcher...
pstljoey,@davidiansimpso3 lol that's so true but Trump don't give ass
LexiAhrens7,@DomCastillo3 rough
HeartbreakCezer,😏 https://t.co/cqE1Al9mSR
ArpanLobo,No Arpan you will not send this girl the '😍' emoji at 3 am
LILMOODY__,"Stop calling everybody yo ""FAM"" Niggas just friendly ass snakes 🤘🏼"
helloimbiancaa,"Denzel and Jk the Reaper 
Chicago 4/9 https://t.co/9RlIckI3RV"
sydneybobbie,Learning to accept what I can't change.
LifeIsBliss_x,😪😪😪😪😪😪
14dabucs,"If you are a male with hair, this is what you should aspire to...
#YoureWelcome
#doinitright https://t.co/bNpyLy6XDB"
taylorillest,Same girl https://t.co/ls6GlqbqwJ
nickoceretko,@mykaelavilla https://t.co/5BjcOYDyFz
odessamariebby,@_itsselinaa yes😍😍😍
austinkasal96,"Wow the kid was drunk ass fuck the whole weekend, that's a good weekend in my book"
ccatthherrinnee,why is my best never good enough
Jerian_thomas10,@Kyle_Zeigler13 @JROBB23WB chemistry is worthless major in 🍻
lilalbigworld,Where did I go wrong? I lost a friend
kraycon,LOL dj snake sucks
ScoobyDoobies21,@Mannaayyyy13 same :/
daltongadwell84,3 Am listening to some Backstreet Boys in my feels.. how bout you?
stevhandy__,Family is all I got!
GlassCitySteve,I've had way too much alcohol to FIFA '16.
_McVeigh,I can not stress enough how much I HATE setting alarms for Sunday's.
jusswrite,😍
m_as_in_mya,so we are gonna buy a bunch of betas and have them fight eachother so someone pick a color and we will add it to the tank
LilJennyMcIvor,@rickygervais new crime watch automotive technology marks height in dirt on the windshield...
luhhbabby23,@Itskaykayyyyy my fault thought you was out. 😘
mami_caliente69,I missed feeling loved.
scottmerkin,"@SuziMellano @FireLeagueKim Thompson, Zaleski and Harris on the same staff--That's A+ stuff. All great guys to cover."
abbiibe,you know our friendship is real when u send RLLY ugly snaps of each other 😭😭💀 @adrian_aflaco11
MoniMunster,I'm fully awake now... Great 🙃🔫
zackisdope,@Ahello_79 where were you? What happenedd?
berlymci,Backer birthdays are just better with @MBarlow and @ScottSATC
katherinejamess,@bauer_chelsea  https://t.co/NQJValp6uM
Steven_Youel4,Lmfao alasas https://t.co/zP5dk4dhcV
stevhandy__,All I need
laurensprenger4,@c_henkenberns dew is kind of the way of life 🙄
puertoricann15,Sleep is for the weak 😂😊
sydneybobbie,The scariest thing just happened 😭
m_as_in_mya,😂😂
destroy_time,@thejenlife I agree completely.
bxtv_,I wish @alinabaraz would go on tour already
jo_davis10,"For once I'd like someone to say ""are you okay?"", rather than me being the one to make sure everyone else is okay."
baby_kangaroo13,we out! #partyanimals #theboys @ Progress Bar https://t.co/sg7jw9L3nn
kayleepepiton,"Whenever my mom drinks, sometimes I want to body slam her."
JimmyErmer,20th birthday is arguably the least important birthday of all time.
jessicademianen,"hey, hey. hey daddy."
melsantiaago,never again
337bot,"@paulengelhard It's been a pretty consistent theme. Considering a lot of them have been influenced by Fallwellian logic, it makes me wonder"
jgoebel16,"Im awake, and bored"
idiot__name,@NicoleDeCapite did you do it for the cereal one
taverenheroes,"@TimeLordDevious also I loved how Vincent was all like ""Fuck the ancestors."" this episode"
Clifton07344602,"Dear: @whitneyavalon  that was great another #epic #PrincessRapBattle 
Keep up the good work. That #grli #power 
:) rock."
pstljoey,@WayneRoot hey I want picture with ya :)
DigiRanma,I'm starting to wonder if this is less Rocky Horror and more Adams Family. #OnePiece
TCampaign__,I wish I could delete people out my life and have no feelings I stg
Joanne_476,Just posted a photo @ Joe's on Weed St. https://t.co/D2xjR7tBq6
DigiRanma,I'm starting to wonder if this is less Rocky Horror and more Adams Family. #OnePiece
______KI,😂😂 https://t.co/LVSUnjlX8h
MarieeMariauna,NEVER DID https://t.co/BtAzSukmdM
MitchMayberry,@josh_aho PCB inside jokes will always last
BIG__RACKS,@ImTakinBreath thank bae😍😍😍
iminlikewithu,"Drinking a S'more Money, S'more Problems by @PipeworksBrewin @ Sanctuary — https://t.co/FxmTsvJzfC #photo"
AnaCamp02,This birthday will b one to remand se
Lisamotz1,Forever pining for those/things I shouldn't want. 😐#gottamoveon
ReyesCecelia,When you look at your snapchat and see the same people doing the same stuff.
LivingRICH_,i never met nobody obsessed with they baby daddy like how kayla is.
laurensprenger4,@Karol_Siwiec  https://t.co/cs8xt96e7K
kaylactucker,I feel like I've been awake for days. @ Woody's Press Box https://t.co/qT6zcAAP4d
saramw25,I really hate when girls try to talk to MY boyfriend
ChristaTheNerd,"You needed me😩 @ North Chicago, Illinois https://t.co/rWfsripwAS"
Curllyness,It feels so good to hold you.
carabertucci,@sydney_saier sweet dreams gorgeous❤️❤️❤️
morganmartinez,At Berlin thinking about mixed drinks and not hurtin people's feelins
attorney_tax,A #BrandonTaxAttorney usually attains an exclusive access to your private information. https://t.co/4ATHANFfeV https://t.co/hDDAQmn7ZY
makaylaapaigee,@GoodinCameron seriously Cam?
TvpacVibes,Lil uzi - 7am | J Cole - Apparently😌☔️
ScoobyDoobies21,@Mannaayyyy13 fr.. we should've gone earlier
NickParedes,"Its been a long time, and i aint even in prime i remember many moons spitting the realiest lines..."
carlosperezalv4,@BatmanAdali can you have them wake me up at 8am
alflint,"@xenophrenia #resistcapitalism History matters. philosophy is amazing, translating it into reality seldom works due to the flaws."
mulheron4,If you use guns instead of hands you're a complete waste of fucking life and I wish nothing but the worst for you. You deserve nothing.
taverenheroes,@TimeLordDevious Davina: the ancestors cursed Kol Vincent: they made me work for that little shit Lucien. Let's fight them
melsantiaago,@SamiSwerdlow I love u
merry_kate,@NickDAmbrosi @KaceyMusgraves YEP
Emilywakeford_,Back 2 reality ..!¡
HarryisDream,@etnaD_olegnaD  @zaynmalik https://t.co/A0tChtgo3H
RC___Cola,@Lynnsterr @Flatulant_bryan y'all gonna fuck?
oliviamchema,I've been told 5 times in the past 30 minutes to turn down my music
rachh_steinmetz,can't believe I'm saying bye to the Irish red head
KAYLYYYNCOX,I'm in a love octagon
__KayMaria,Goodnight.😴
Christinarenie9,@abby_mcelyea love you
Coach_Macella,#This https://t.co/BC4jPsqTvY
BigDawgQue,He was drunk and tripping I knew it was coming lmao https://t.co/Ge9IBvwMNe
SweesyMarsha,"@RNRIllinois @RNRArizona  Obamas Muslim refugee ""surge"" begins, at least 10,000 before Sept https://t.co/aNOCxkQGY2 via@creepingsharia #waar"
_Micayla_Lynn_,"Can't tell if I've been used or you have just changed. But either way, goodbye friend."
LivingRICH_,@REAL_BitchWasup str8 bum
eastonnorman,Fruity pebbles &gt;&gt;
calgera,Yaaaassss #sia  sighting again!!!! @ Sidetrack The Video Bar https://t.co/MtHwLHV3Z4
mSperoni,"@JimmyJazz1968 @edzitron I like Ultraman the best, myself."
makaylaapaigee,@GoodinCameron I always want you to care
brie_cole,@ashleysimmons95 @maddiemillsss I can't stop picturing this
BrentonPoke,Accurate. https://t.co/GDHdYrSM16
_yungpasta,Update on the Division: the dark zone is not a place to fuck around in.
syddlermm,I am muthafuckin annoyed
CoachS_Foulkes,"After a week of spring break practices, I'm feeling confidant that when we start competing this week we will turn some heads #throwfarther"
pstljoey,@yhufnagel @Islam_Dangerous ok
haleyjoyce24,@bibahxela @WorldStarFunny I'm praying you're talking about that second round of dinner because that's me 110% of the time
mjwalker1200,I am feeling no pain!  #whoiswithme
_edvinnn,bitch i just wrote me a million
zenrae_yap,Grown ups 2. Definitely underrated.
JMilosek,@lakiss01 where u @
NeatGibson,Im gonna booze forever
pluggedkj,i want Lina lows🙊
Gmurderr,Txt me
destroy_time,I'm still heartbroken that #DavidBowie is no longer with us. What a loss.
togahimiko,@chespin screm
mrbob0822,"@sa_roux I'm frankly more of a hugger with friends, so I'd say the ""least"" would be the awkward co-armor hug shuffle, if not a regular hug!"
carlosperezalv4,G https://t.co/SQPA6mMcW2
Lando_1207,The real ones to worry about are the extremely good ones you might want so bad but can't ever have
LilJennyMcIvor,@rickygervais new crime watch automotive technology marks height in dirt on the windshield... #SpecialCorrespondents
TvpacVibes,I want my dreamssss to rescue me😞
KaneCanBall,How I went from watching Freddy Krueger to Charlie St Cloud is confusing me
taylorbaugh01,My idea of things: I want to be with you!!
alloutofideas00,You know you like someone when you check to see if they saw your snapchat story.
AndrePlatevoet,@mikephilly_ @nikoristic @mritonja88 I was addicted to gambling and this movie changed my life around 👍🏿
hayleyruff1,wow my dog snores way too loud
illamakesbeats,@svrinx Ik u on FlyLo
togahimiko,ok im gonna sleep and wake up and die
itsixxy,been facetiming since 12:05 😴
TCampaign__,sitting back thinking you deserve more ..
Lindsay_Jordan_,Always getting caught up
syddlermm,barely tired anymore 🙄🙄🙄🙄🙄😒
togahimiko,goodnight
stebo5,"it's much easier to be a liberal in today's political climate, I commend the conservatives that fight for logical thinking. #resistSocialism"
ReyesCecelia,Not even gonna front ... I'm eating popcorn and laying in bed at 3 in morning 😂😂😂 so I'm no better
IMFR3KE,@BennieCoronel yes
kayleepepiton,My baby just left me.😞
Tyshboi,GRiZ wobbles are the best wobbles
hannnjob,if you want me : if you need me : i'm yours 💕
Finesse__ry,🇨🇩
Joanne_476,Just posted a photo @ Joe's on Weed St. https://t.co/Ym8pE7Kpcp
jenbensonnn,Things get so good for me for a minute then something shitty happens
_taylorr_p,smmmashpotatoes https://t.co/WZ0UDvm8Rg
DavidPStein_,@ShesSoHabs oh god...I think I understood that!
FTGiGSJobs,"See our latest #RochesterHills, MI #job and click to apply: Supplier Quality Engineer - https://t.co/l8lq8FH4AV #QA https://t.co/6etEUOm1BV"
scbowman11,So true 😏 https://t.co/EuADZVNufi
WesDotJay,2 woods in 2 hours
ccatthherrinnee,lol I give up
emhugheswi,i'm bored so here https://t.co/Si7niS5G0s
jasmineedianne,If everyone doesn't leave me the fuck alone rn
WorkWithSHC,"Want to work in #OakLawn, IL? View our latest opening: https://t.co/47H1K9hyNY #Nursing #Job #Jobs #Hiring https://t.co/43pOckX34T"
Angela_Jacoby7,@twiggz9957 @Angela_Jacoby7 we miss you too!! ❤
bgilland,"When Finn wakes up after the T.I.E. fighter crash ""that's me after a night out drinking"""
DigiRanma,"Alright guys, it's time for the winners and losers of the night! #Toonami"
gowinggxo,Mood: 💔
jilcalma,Tang kikyak nakamu kasi emu na balu
IzzyTheSloth,All I need is a freak like me 😏
lexiedemarco18,People won't behave if they got nothin to loose
Tre_Bayy_,Jus sittin at the edge of my bed man. Idek why im tweetin
carlycoomes,look at urs!!!!!! I love you more than you'll ever know 💓💓💓💓 https://t.co/Qv43FGZRCE
DeeGreezy,When the food come out fire  https://t.co/7FroKkqP57
leah_uptonn,IVE NEVER BEEN SO HAPPY TO BE HOME
TCampaign__,"I look out for the wrong Mfs , look what I get in return NOTHING"
alflint,@YourNiggaCreepo @xenophrenia who you thanking? lol
cheyskin1,Just when shit is going good and everything seems nice something will always come along and fuck it up
MoniMunster,@AnanSterb I'm wide awake now.. And he's not responding to me now. Lol 🙃🙃🙃 like punch me.
saad_serena,@slundyn517 not as long
Mariobrosfan94,"Okay I am going to bed, Good night guys!"
b_defrance13,I HATE BOYS BECAUSE ALL THEY DO IS PLAY WITH YOUR HEAD
heyGeorgiaRae,"If you saw a lost looking girl wandering around 550 today looking for cell service, yes. That was me."
pstljoey,@alcrocodilian @FoxNews @perrych get common core out of our schools
020299__,bitch I can't believe you talking shit &amp; you snore more than us  https://t.co/1zQ6osjjJD
haylee_manier,I just want to go to sleep and never wake up.
lauren_dimayuga,"I LOVE SLEEP, BUT WHY IS IT BEING SO DIFFICULT RNNNN 
RELATIONSHIP PROBLEMS MAN"
KidFrankySan,Eliminate your self-image. Be one mang.
aidengmiller,"""Is there going to be Netflix?""
""Idk is there going to be weed?"""
VincentJV,"I'm at SEVEN in Chicago, IL https://t.co/UvxZw1E1ts"
RoushTanner,Bored
_kwilkerson,I literally hate being ignored
maraashaneyfelt,I'm still awake..... why
morg_Emily16,"'If happy is her, I'm happy for you."""
hayleejoy,i'm so fascinated rn https://t.co/oGxpwnXKzG
clang1009,Hello
lovelyatbest,is micellar water as good as people say it is
_AJSPECK_,Snake.
makaylaapaigee,"""I hate myself"" I've said to myself 347 times in the last 2 hours"
carlosperezalv4,@BatmanAdali yup I got to work but I don't trust my alarm
_niknovak,In a heated conversation in our group chat and Hanna sends a pic of a joint that she rolled 😂😂😂😂 GOOD JOB HAN.
alimarieeee,Clint told me I have an attitude problem.... #nottrue
