kaydaig,@kaat_x0 congrats!!!😘💙
ak_tata,Pre-show #makinmoliere @ Richard B. Fisher Center for the Performing Arts https://t.co/kso5mqmo5O
itssscorii,"When you read a book in one sitting, you know it was too good."
babyalllll,CRAZY ASS BITCH😂
Netstryke,@Akane_SasuSora @tsunderica https://t.co/OA7fiVIps6
maryannminnich,@ElishivaAhmose trump will stop the corruption and change America for 21 century
VictoriaSuppa,How is it almost 3 am what did I do
WAustinCoats,"I don't know what I'm doing but, no matter what, I'm left wishing and hoping."
HockeyGoalieEh,@mcbellis I hope you get ants.
JakaryK,Reading a lot hurts my eyes so bad
Trina4584,@Michelle3497__ i love youuu❤️
FreeTown30,LOL https://t.co/AsZXw3wDVv
edwardtriste,Nagpaparamdam na si BGC beside Wall Street. 😭 Headed back in a couple of days 😱 @ Wall Street -… https://t.co/vH87y1m7WI
ShawneyyShawn,Mood  https://t.co/S6BhTkOIgv
Noey_Montana,"if you claim to be different from the rest but yet question someone for being different, you are not different. Straight like that."
erinbookman,God bless how retarded I am and tonight proved how I will never drink again
HEINSLERJAN,@MamasGotAGun THERE ARE NO HER WARS. GET A BRAIN
__FCG__,2 https://t.co/CHnFQnMy81
jssicaroy,my nails actually fucked me up dawg
MarcoPriolo1,Ahahaha what a joke
Yoshicnn,@Anythuing https://t.co/Tn0rDUt2HO
yoyoinbronx,@lleeaahhkk @Miles_AndrewS - Good job guys #H2P
michaelrockyz1,What's up anyone want sum cock
Kenny_Costa16,"Honestly bothers me that some people can act the way they do in front of people they ""care about"""
twistersand,@ItsAndyBitch oh my....
mwinkkk8,My boyfriend is missing
soundblaster16,@zercin27 she also loved No Doubt. And The Backstreet Boys.
_tochimamii,I feel horrible
FUCKZOE,Iight. I got a client at 10am 🙄🙄🙄 later losers ✌🏾️
Mjmerritt23J,RIP to a Beast https://t.co/UtDgGpMR2s
_AyasiaYvonn,Gone 😩
