cedrobands,wow why can't we be friends  https://t.co/b7sbokWrT8
itsemma_dawg,Omgg that wass funny tf
Laffy_7,Fuck*
lipstickissa,Let's get in formation
_HolliW13,Duck? 🤔 https://t.co/B6Zl1LvI5z
Luv_JamieMarie,My feet hurt
_ImSooLOST,The clearness of those photos seem so unreal like I feel I can actually pull them from the photos😂😂 https://t.co/6wpFVVXazT
BrieannaSalinas,@NinaRozaaye meant drunk n fuck not drink. Correction 🤔
kpeteisafeline,S'cute
hatelaura_,ignorant
Bashkaai,How can I fear any created thing when the ONE who created it and me stands with me?
steezortizzz,@Kennardo glad you're okay :)
isabelalonso121,Cara de angel y figura divina ❤️
HotStuffKat,Phone calls at night are so much better
YUNGMEPHISTO,@Horse_Crimes i need my 80s scifi movie soundtrack nOW
eklassb,Yes. Yes u do lol
AlmaDVillarreal,Same @camerondallas  https://t.co/WL5AmcRu49
BrianBradley97,Driving around at 2:30 in the morning looking for ur friend that's on shrooms is not what I had planned for tn
_SouthernKisses,Having one of those nights where my mind racing. I'm not tired and I just wanna talk about everything
Lariyah_,Honestly my granny's means the world to me I can't lose her
Scrape1900,I'm 🆙 https://t.co/zs5JPm3OcF
AWESOMEPAUL77,"@MariaFarfan9 karaoke party, why are you 🤔"
ThatCatCavalier,"Growing up Teaches You to be Realistic. 

There's a Process to Everything."
TarikPS_Spencer,"@Lukk_iLL 
Dry drips to midtown, they was on some bs lol"
mr2fancy,#saturdaynightlive #epic #houston #hiramclarke #tx #socialites #teamdarkskin #madhouse #marlins… https://t.co/R4ttBaprFf
KourtneiCt,Did lump find his phone
paytonlillly,am I too ugly to post this lol https://t.co/tj8dFt8cip
Daveshatamia,this whataburger finna for 🙄
smg_s,@Lekhasri_g 😕😕😕 @kanavukadhalan machieee😭😭😭😭😭😭😭
Juustllareli_05,"I win :,-)"
krystinstew,@michciahtyler I might go see her in Colorado because she was so dang good ROAD TRIP
kendra_f_baybee,https://t.co/0DxftyZTtc
Robb_Schtark,@alllierose from wher?
princess_alyxx,@ctrumbull_15 😘😘
originally_ash,P. Malone and Bieber and Odell beckham Jr. In one night 😍
JoshPaul_14,Don't neeeed no hoes
BhrisDvpe,Rip Will Smith https://t.co/9bkSfWLe0D
Tittymilksucka,@_feliziana just now ???
maddymoe97,Forever my favorite. This and lilo &amp; stitch 💕 https://t.co/afIhCEvxpz
zegibbz,silent griz disco 👾
gawgusssx,I have that PT test Monday that I really don't wanna take but I'm gonna get it out the way
JoyOfRoyQ,I genuinely feel so much being able to connect with others. So glad #StoryTelling is becoming more of a focus in #SocialMedia.
__onlyJAZ,🤔 https://t.co/pXUpsRjTR0
tykebrean,Really hate seeing my sister like this
Daveshatamia,@Daveshatamia hit *
a1exaa_,I just thank dailt and njleuyt im
whataberto,@brianapuente_ is the best 💯
